match_id,lado,col_posesion_pct,riv_posesion_pct,col_grandes_ocasiones,riv_grandes_ocasiones,col_tiros_totales,riv_tiros_totales,col_atajadas,riv_atajadas,col_corners,riv_corners,col_faltas_cometidas,riv_faltas_cometidas,col_pases_totales,riv_pases_totales,col_entradas,riv_entradas,col_tiros_libres,riv_tiros_libres,col_tarjetas_amarillas,riv_tarjetas_amarillas,col_tiros_arco,riv_tiros_arco,col_palos,riv_palos,col_tiros_fuera,riv_tiros_fuera,col_tiros_bloqueados,riv_tiros_bloqueados,col_tiros_dentro_area,riv_tiros_dentro_area,col_tiros_fuera_area,riv_tiros_fuera_area,col_grandes_ocasiones_gol,riv_grandes_ocasiones_gol,col_pases_filtrados,riv_pases_filtrados,col_toques_area,riv_toques_area,col_faltas_recibidas_tercio_final,riv_faltas_recibidas_tercio_final,col_fueras_juego,riv_fueras_juego,col_pases_precisos,riv_pases_precisos,col_saques_banda,riv_saques_banda,col_entradas_tercio_final,riv_entradas_tercio_final,col_duelos_totales,riv_duelos_totales,col_perdidas_balon,riv_perdidas_balon,col_entradas_ganadas,riv_entradas_ganadas,col_entradas_totales,riv_entradas_totales,col_intercepciones,riv_intercepciones,col_recuperaciones,riv_recuperaciones,col_despejes,riv_despejes,col_atajadas_totales,riv_atajadas_totales,col_salidas_aereas,riv_salidas_aereas,col_saques_puerta,riv_saques_puerta,col_errores_tiro,riv_errores_tiro,col_xG,riv_xG,match_date,tournament,home_team,away_team,home_score,away_score,result,goals_for,goals_against,clean_sheet,rival,col_duelos_suelo_ganados,col_duelos_suelo_disputados,col_duelos_suelo_pct,riv_duelos_suelo_ganados,riv_duelos_suelo_disputados,riv_duelos_suelo_pct,col_duelos_aereos_ganados,col_duelos_aereos_disputados,col_duelos_aereos_pct,riv_duelos_aereos_ganados,riv_duelos_aereos_disputados,riv_duelos_aereos_pct,col_dribbles_ganados,col_dribbles_disputados,col_dribbles_pct,riv_dribbles_ganados,riv_dribbles_disputados,riv_dribbles_pct,col_fases_tercio_final_ganados,col_fases_tercio_final_disputados,col_fases_tercio_final_pct,riv_fases_tercio_final_ganados,riv_fases_tercio_final_disputados,riv_fases_tercio_final_pct,col_pases_largos_ganados,col_pases_largos_disputados,col_pases_largos_pct,riv_pases_largos_ganados,riv_pases_largos_disputados,riv_pases_largos_pct,col_centros_ganados,col_centros_disputados,col_centros_pct,riv_centros_ganados,riv_centros_disputados,riv_centros_pct,team
16112839,local,69,31,3,2,14,9,2,3,"5,0","4,0","12,0","12,0",547,243,15,13,12,12,"2,0","2,0",6,4,0,0,6,2,2,3,9,5,5,4,"3,0","1,0","1,0","0,0",23,11,"3,0","2,0",,,487,188,12,29,70,45,"50,0","50,0",7,6,87,62,15,13,3,3,44,34,24,10,2,3,,,5,11,,,,,2026-06-01 23:00:00,Int. Friendly Games,Colombia,Costa Rica,3,1,W,"3,0","1,0",False,Costa Rica,36,77,"47,0",41,77,"53,0",11,17,"65,0",6,17,"35,0",9,15,"60,0",16,25,"64,0",104,131,"79,0",55,82,"67,0",28,44,"64,0",17,45,"38,0",4,18,"22,0",3,12,"25,0",Colombia
15655701,local,45,55,1,2,13,14,2,4,"9,0","5,0","13,0","14,0",373,468,16,23,14,13,"1,0","3,0",5,5,0,0,3,4,5,5,8,7,5,7,"1,0","2,0","1,0","0,0",31,24,"3,0","1,0","2,0","3,0",308,408,26,20,48,30,"44,0","56,0",13,10,56,52,16,23,8,9,38,45,13,31,2,4,"1,0","0,0",8,6,"0,0","1,0","1,12","1,63",2026-03-29 19:00:00,Int. Friendly Games,Colombia,France,1,3,L,"1,0","3,0",False,France,38,85,"45,0",47,85,"55,0",1,3,"33,0",2,3,"67,0",8,18,"44,0",11,17,"65,0",66,96,"69,0",82,103,"80,0",10,39,"26,0",18,31,"58,0",3,24,"13,0",2,8,"25,0",Colombia
15332281,local,58,42,2,2,14,12,1,4,"6,0","4,0","7,0","18,0",607,441,14,12,18,7,"0,0","3,0",5,3,1,2,6,4,3,5,11,9,3,3,"0,0","1,0","1,0","1,0",22,19,"4,0","1,0","3,0","1,0",550,390,19,10,83,28,"61,0","39,0",4,7,29,67,14,12,3,10,45,47,11,28,1,4,,,6,7,"0,0","1,0","1,29","1,13",2026-03-26 23:30:00,Int. Friendly Games,Colombia,Croatia,1,2,L,"1,0","2,0",False,Croatia,35,58,"60,0",23,58,"40,0",5,8,"63,0",3,8,"38,0",3,11,"27,0",4,11,"36,0",162,195,"83,0",44,58,"76,0",33,47,"70,0",20,42,"48,0",3,18,"17,0",2,10,"20,0",Colombia
15027618,local,66,34,3,0,16,2,1,5,"4,0","0,0",,,747,393,13,12,11,14,"2,0","2,0",8,1,0,0,3,1,5,0,9,1,7,1,"3,0","0,0",,,28,1,"5,0","2,0","2,0","2,0",680,328,30,15,77,29,"53,0","47,0",5,6,62,75,13,12,8,9,37,37,5,27,1,5,"0,0","1,0",3,5,,,"1,98","0,11",2025-11-19 01:30:00,Int. Friendly Games,Colombia,Australia,3,0,W,"3,0","0,0",True,Australia,38,68,"56,0",30,68,"44,0",8,19,"42,0",11,19,"58,0",13,20,"65,0",4,11,"36,0",128,165,"78,0",20,43,"47,0",41,59,"69,0",10,31,"32,0",6,21,"29,0",0,2,"0,0",Colombia
15035393,local,64,36,0,1,22,10,2,6,"7,0","7,0",,,548,293,12,14,13,16,"0,0","1,0",8,3,0,0,8,3,6,4,11,5,11,5,"0,0","1,0","1,0","0,0",26,15,"1,0","1,0","4,0","2,0",497,233,12,12,64,41,"52,0","48,0",11,10,67,71,12,14,6,10,42,36,19,19,2,6,"2,0","0,0",4,8,,,"2,05","1,01",2025-11-16 00:30:00,Int. Friendly Games,Colombia,New Zealand,2,1,W,"2,0","1,0",False,New Zealand,30,62,"48,0",32,62,"52,0",8,11,"73,0",3,11,"27,0",5,8,"63,0",3,5,"60,0",135,163,"83,0",41,73,"56,0",20,42,"48,0",17,44,"39,0",3,14,"21,0",0,10,"0,0",Colombia
14784775,visitante,60,40,4,0,6,4,1,1,"2,0","2,0",,,504,328,15,31,18,20,"0,0","3,0",1,1,1,0,4,2,1,1,4,0,2,4,,,,,8,6,"2,0","6,0","0,0","1,0",434,252,31,16,51,45,"43,0","57,0",18,6,60,65,15,31,8,10,44,52,24,15,1,1,"2,0","0,0",6,5,"1,0","0,0","0,84","0,1",2025-10-15 00:00:00,Int. Friendly Games,Canada,Colombia,0,0,D,"0,0","0,0",True,Canada,39,96,"41,0",57,96,"59,0",13,25,"52,0",12,25,"48,0",7,20,"35,0",7,16,"44,0",55,83,"66,0",73,113,"65,0",30,53,"57,0",12,41,"29,0",1,10,"10,0",0,12,"0,0",Colombia
14784774,visitante,41,59,3,1,7,10,2,0,"2,0","2,0","17,0","13,0",333,481,17,13,13,17,"1,0","3,0",4,2,0,1,2,4,1,4,5,5,2,5,"3,0","0,0",,,15,20,"3,0","5,0","2,0","0,0",257,409,22,24,47,38,"52,0","48,0",8,6,71,54,17,13,13,5,44,32,18,20,2,0,,,6,4,,,"1,39","0,83",2025-10-12 01:00:00,Int. Friendly Games,Mexico,Colombia,0,4,W,"4,0","0,0",True,Mexico,31,61,"51,0",30,61,"49,0",13,23,"57,0",10,23,"43,0",3,8,"38,0",0,11,"0,0",49,80,"61,0",66,99,"67,0",27,64,"42,0",22,43,"51,0",1,12,"8,0",2,14,"14,0",Colombia
14169223,visitante,64,36,5,3,13,11,5,3,"2,0","3,0","16,0","14,0",517,287,10,14,14,16,"0,0","1,0",9,8,0,1,3,2,1,1,9,9,4,2,"5,0","2,0","3,0","0,0",16,19,"1,0","1,0","0,0","1,0",432,223,21,20,46,38,"48,0","52,0",7,5,70,79,10,14,7,13,42,37,23,36,5,3,,,4,4,"1,0","0,0",,,2025-09-09 23:30:00,"World Cup Qualification, CONMEBOL",Venezuela,Colombia,3,6,W,"6,0","3,0",False,Venezuela,30,64,"47,0",34,64,"53,0",15,30,"50,0",15,30,"50,0",6,14,"43,0",3,8,"38,0",63,94,"67,0",48,86,"56,0",25,58,"43,0",20,47,"43,0",3,9,"33,0",4,13,"31,0",Colombia
14169217,local,64,36,3,2,12,9,3,5,"4,0","2,0","10,0","7,0",493,275,16,12,7,10,"1,0","1,0",8,3,0,0,4,3,0,3,9,2,3,7,"1,0","0,0",,,25,6,"3,0","1,0","1,0","3,0",437,228,19,17,61,29,"54,0","46,0",6,10,75,50,16,12,7,9,41,41,12,24,3,5,"0,0","1,0",6,6,,,,,2025-09-04 23:30:00,"World Cup Qualification, CONMEBOL",Colombia,Bolivia,3,0,W,"3,0","0,0",True,Bolivia,32,59,"54,0",27,59,"46,0",6,11,"55,0",5,11,"45,0",9,15,"60,0",6,12,"50,0",107,143,"75,0",48,64,"75,0",46,66,"70,0",19,40,"48,0",8,20,"40,0",2,12,"17,0",Colombia
13856224,visitante,36,64,5,2,11,10,2,4,"6,0","4,0","12,0","16,0",345,606,11,20,16,12,"4,0","2,0",5,3,1,1,2,6,4,1,9,7,2,3,"1,0","0,0","0,0","2,0",14,28,"1,0","1,0","1,0","4,0",291,553,14,19,33,57,"44,0","56,0",11,5,73,75,11,20,6,13,37,41,30,8,2,4,"0,0","2,0",9,4,,,,,2025-06-11 00:00:00,"World Cup Qualification, CONMEBOL",Argentina,Colombia,1,1,D,"1,0","1,0",False,Argentina,33,78,"42,0",45,78,"58,0",8,16,"50,0",8,16,"50,0",6,15,"40,0",13,19,"68,0",52,74,"70,0",125,155,"81,0",18,40,"45,0",13,20,"65,0",4,10,"40,0",2,16,"13,0",Colombia
